entry_date,exit_date,direction,credit,outcome,had_intraday,pnl_gross,pnl
2026-02-19,2026-02-20,bear,31.400000000000002,stop,True,-4121.25,-4241.25
2026-02-20,2026-02-23,bull,29.250000000000004,close,True,1612.5000000000002,1492.5000000000002
2026-02-25,2026-02-26,bear,17.150000000000002,close,True,540.0000000000001,420.0000000000001
2026-02-27,2026-03-02,bear,8.0,close,True,600.0,480.0
2026-03-05,2026-03-06,bull,60.499999999999986,stop,True,-7940.624999999998,-8060.624999999998
2026-03-06,2026-03-09,bear,50.6,close,True,3307.5,3187.5
2026-03-09,2026-03-10,bull,60.849999999999994,close,True,4563.75,4443.75
2026-03-11,2026-03-12,bear,60.849999999999994,close,True,2482.4999999999995,2362.4999999999995
2026-03-12,2026-03-13,bear,64.10000000000001,close,True,3753.750000000001,3633.750000000001
2026-03-13,2026-03-16,bear,51.650000000000006,stop,True,-6779.062500000001,-6899.062500000001
2026-03-16,2026-03-17,bull,46.65,close,True,3495.0,3375.0
2026-03-19,2026-03-20,bear,56.70000000000002,stop,True,-7441.875000000002,-7561.875000000002
2026-03-20,2026-03-23,bear,69.05,close,True,4672.5,4552.5
2026-03-23,2026-03-24,bear,46.7,stop,True,-6129.375000000001,-6249.375000000001
2026-03-27,2026-03-30,bear,51.5,close,True,3858.75,3738.75
2026-04-01,2026-04-02,bear,58.35000000000001,close,True,543.750000000001,423.750000000001
2026-04-02,2026-04-06,bull,78.85,stop,True,-10349.062499999998,-10469.062499999998
2026-04-06,2026-04-07,bull,64.9,stop,True,-8518.125000000002,-8638.125000000002
2026-04-08,2026-04-09,bull,49.44999999999999,stop,True,-6490.312499999998,-6610.312499999998
2026-04-10,2026-04-13,bull,40.050000000000004,stop,True,-5256.5625,-5376.5625
2026-04-16,2026-04-17,bear,51.7,close,True,-1758.7500000000002,-1878.7500000000002
2026-04-17,2026-04-20,bull,34.3,close,True,262.4999999999997,142.49999999999972
2026-04-20,2026-04-21,bear,25.75,close,True,1803.75,1683.75
2026-04-22,2026-04-23,bear,51.599999999999994,close,True,2429.9999999999995,2309.9999999999995
2026-04-23,2026-04-24,bear,53.650000000000006,close,True,2505.0000000000005,2385.0000000000005
2026-04-24,2026-04-27,bear,47.2,close,True,-1004.9999999999999,-1125.0
2026-04-27,2026-04-28,bull,18.6,close,True,1391.25,1271.25
2026-04-30,2026-05-04,bull,57.05,close,True,3180.0,3060.0
2026-05-06,2026-05-07,bull,56.800000000000004,close,True,-397.50000000000034,-517.5000000000003
2026-05-07,2026-05-08,bear,36.00000000000001,close,True,1605.0000000000005,1485.0000000000005
2026-05-11,2026-05-12,bear,16.95,close,True,1267.5,1147.5
2026-05-14,2026-05-15,bull,39.55,close,True,-404.9999999999999,-524.9999999999999
2026-05-15,2026-05-18,bear,33.25,close,True,1245.0,1125.0
2026-05-18,2026-05-19,bull,21.700000000000003,close,True,1623.7500000000002,1503.7500000000002
2026-05-20,2026-05-21,bull,59.150000000000006,close,True,112.50000000000054,-7.49999999999946
2026-05-21,2026-05-22,bear,53.25,close,True,-525.0000000000006,-645.0000000000006
2026-05-25,2026-05-26,bull,9.35,close,True,697.4999999999999,577.4999999999999
2026-05-27,2026-05-29,bull,47.10000000000001,stop,True,-6181.875000000001,-6301.875000000001
2026-05-29,2026-06-01,bear,29.000000000000004,close,True,1991.2500000000002,1871.2500000000002
2026-06-01,2026-06-02,bear,12.2,close,True,915.0,795.0
2026-06-03,2026-06-04,bull,59.25,stop,True,-7776.5625,-7896.5625
2026-06-04,2026-06-05,bull,54.15,close,True,-562.5,-682.5
2026-06-08,2026-06-09,bear,13.8,close,True,1031.25,911.25
2026-06-10,2026-06-11,bear,52.89999999999999,close,True,1376.2499999999995,1256.2499999999995
2026-06-12,2026-06-15,bull,39.55,close,True,2711.25,2591.25
2026-06-15,2026-06-16,bear,10.799999999999999,close,True,809.9999999999999,689.9999999999999
2026-06-17,2026-06-18,bull,41.25,close,True,1897.5,1777.5
2026-06-18,2026-06-19,bull,27.1,stop,True,-3556.8750000000005,-3676.8750000000005
2026-06-19,2026-06-22,bull,20.700000000000003,close,True,1323.7500000000002,1203.7500000000002
2026-06-22,2026-06-23,bear,5.4,close,True,401.25000000000006,281.25000000000006
2026-06-24,2026-06-25,bull,34.25,close,True,1316.25,1196.25
2026-06-25,2026-06-29,bear,17.450000000000003,close,True,1046.2500000000002,926.2500000000002
2026-06-29,2026-06-30,bear,12.1,close,True,907.5,787.5
2026-07-01,2026-07-02,bull,49.8,close,True,2602.4999999999995,2482.4999999999995
2026-07-02,2026-07-03,bull,28.45,close,True,1301.2499999999998,1181.2499999999998
2026-07-03,2026-07-06,bear,5.749999999999999,stop,True,-754.6874999999999,-874.6874999999999
2026-07-06,2026-07-07,bull,9.85,close,True,731.25,611.25
2026-07-08,2026-07-09,bear,47.900000000000006,stop,True,-6286.875000000001,-6406.875000000001
2026-07-09,2026-07-10,bear,27.9,stop,True,-3661.8749999999995,-3781.8749999999995
2026-07-10,2026-07-13,bull,23.5,stop,True,-3084.375,-3204.375
2026-07-13,2026-07-14,bull,18.849999999999998,stop,True,-2474.0625,-2594.0625
2026-07-15,2026-07-16,bear,41.35,close,True,472.50000000000034,352.50000000000034
